offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
COROT-01,COROT,16_SNC_COROT_offre1.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
COROT-02,COROT,16_SNC_COROT_offre10.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
COROT-03,COROT,16_SNC_COROT_offre11.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
COROT-04,COROT,16_SNC_COROT_offre12.pdf,HOUSEBASE,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR (DG),,Offre dédiée,,,,,,,,,,,,,,,,,,Offre HOUSEBASE — détails à préciser.
COROT-05,COROT,16_SNC_COROT_offre2.pdf,Groupe LALEYE,,,,,"Alidou LALEYE (Univ. Paris Dauphine), Brian LALEYE (ESCP Europe)","Marchand de biens et gestionnaire d'actifs immobiliers depuis 30 ans, ~3M€ patrimoine, partenaires Banque BCP et Caixa",Proposition reprise actifs isolés,2026,,,,,,,,Aucune CS de financement,Fonds propres + partenariats bancaires,,,,,,,,Annexes : 11 dernières adjudications + cartographie groupe + patrimoine. Prix précis non extrait du début du PDF.
COROT-06,COROT,16_SNC_COROT_offre3.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
COROT-07,COROT,16_SNC_COROT_offre4.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,120000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SNC COROT : 120000€ (initiale) ou 130000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 120000€ ; Améliorée 02/03/2026 = 130000€.
COROT-08,COROT,16_SNC_COROT_offre5.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,120000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SNC COROT : 120000€ (initiale) ou 130000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 120000€ ; Améliorée 02/03/2026 = 130000€.
COROT-09,COROT,16_SNC_COROT_offre6.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,120000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SNC COROT : 120000€ (initiale) ou 130000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 120000€ ; Améliorée 02/03/2026 = 130000€.
COROT-10,COROT,16_SNC_COROT_offre7.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign EBE6E276. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
