offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
INSULA-01,INSULA,03_SCI_INSULA_offre1.pdf,NON APPLICABLE — offre pour SNC ADONIA (immeuble Cachan),,,,,,,Hors périmètre INSULA,2026-02-09,HOUSEBASE SAS,,,,,"Cette offre HOUSEBASE (501 600€, immeuble 30 rue Étienne Dolet 94230 Cachan) cible SNC ADONIA, pas SCI INSULA. À documenter dans le CSV de SNC ADONIA",,,,,,,,,,,"Le PDF est physiquement dans le dossier 03 - SCI INSULA mais cible SNC ADONIA (HOUSEBASE, 501 600€ pour immeuble Cachan). Conséquence du regroupement initial des PDFs par numérotation administrative et non par entité ciblée. Voir CSV de SNC ADONIA pour traitement."
INSULA-02,INSULA,03_SCI_INSULA_offre2.pdf,INDÉTERMINÉ — PDF scanné illisible,,,,,,,,,,,,,,,,,,,,,,,,,"PDF scanné de 13 pages, OCR à effectuer pour analyse. Texte non extractible avec pdfplumber."
INSULA-03,INSULA,03_SCI_INSULA_offre3.pdf,CORTONA FRANCE,EURL/SARL,7622.45,432340222,"7 rue Lincoln, 75008 Paris",Alexandre MOLIMARD (gérant),"Filiale du groupe CORTONA, foncière détenue à 100% par Philip de Haseth-Möller. Groupe créé en 1985, présent en France et aux Pays-Bas (cortona.fr)",Offre initiale (sous conditions suspensives),2026-01-09,CORTONA FRANCE (avec faculté de substitution),,,,,Reprise de la totalité des actifs immobiliers du périmètre — 27 biens (en considérant les 12 emplacements de stationnement de SCI INSULA comme un bien unique). Asset deal sur le portefeuille Foncière Melot Gouband.,,"Plusieurs conditions suspensives (texte complet à analyser - PDF de 7+ pages avec annexes : Kbis, statuts, comptes 2021-2024, passeports gérants)",À préciser,,,,,,,,"Offre globale CORTONA FRANCE pour 27 biens immobiliers du portefeuille Melot/Gouband. Prix individualisé par actif non extrait du PDF (texte cut-off). Annexes : organigramme groupe CORTONA, Kbis, statuts, attestations comptes 2021-2024, passeports. À retraiter pour extraire les prix individuels par entité."
INSULA-04,INSULA,03_SCI_INSULA_offre4.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,"Groupe foncier (M. Cohen) - portefeuille immobilier diversifié, vocation patrimoniale",Offre initiale,2026-02-09,MUVICO,40000,,40000,,"Offre globale 'Foncière Melot Gouband / Affaire Balthazar' portant sur plusieurs SCI. Portion SCI INSULA : 40 000€ (parmi prix individualisés : SCI ISIS 240k€, SCI PIERRE VALETTE 500k€, SCI GM IMMO 400k€, SCCV HENRI GINOUX 400k€, SCI AEDES 90k€, SCI ATELIER URBAIN 850k€, SCI JEAN RENAUDIE 160k€, SCI LE LOFT 260k€, SCI MARIE MADELEINE 480k€, SCI 60 MARCEL BONNET 4 000 000€, SNC COROT 120k€, SCI EGLANTINE ET SUZETTE 500k€, SCI OKABE 600k€)",,À analyser dans le PDF complet (357k chars),,,,,,,,,"Offre globale multi-SCI MUVICO du 09/02/2026. À reporter avec prix individualisés dans tous les CSV des entités concernées (ISIS, PIERRE VALETTE, GM IMMO, HENRI GINOUX, AEDES, ATELIER URBAIN, JEAN RENAUDIE, LE LOFT, MARIE MADELEINE, 60 MARCEL BONNET, COROT, EGLANTINE ET SUZETTE, OKABE...). Améliorée par INSULA-05 (02/03/2026, INSULA passe à 45 000€)."
INSULA-05,INSULA,03_SCI_INSULA_offre5.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier - portefeuille immobilier diversifié,Offre améliorée,2026-03-02,MUVICO,45000,,45000,,"Offre globale améliorée multi-SCI. Portion SCI INSULA : 45 000€ (vs 40k initiale). Prix individualisés améliorés : SCI ISIS 250k€, SCI PIERRE VALETTE 550k€, SCCV HENRI GINOUX 200k€, SCI AEDES 100k€, SCI ATELIER URBAIN 880k€, SCI JEAN RENAUDIE 170k€, SCI LE LOFT 270k€, SCI MARIE MADELEINE 500k€, SCI 60 MARCEL BONNET 4 300 000€, SNC COROT 130k€, SCI OKABE 650k€, SCI RHEA 9 500€, SCI ADELE ET FIRMIN 850k€, SNC PRIMEL TREGASTEL...",,,,,,,,,,,Offre améliorée MUVICO du 02/03/2026 - améliore INSULA-04. Hausse globale du portefeuille avec prix individualisés revus à la hausse pour la plupart des SCI. À reporter avec prix individualisés dans tous les CSV des entités concernées.
INSULA-06,INSULA,03_SCI_INSULA_offre6.pdf,VERDOSO SAS,SAS,,,,,,Offre globale en plan de cession,2026-03-02,VERDOSO SAS,,,,,"Offre globale en plan de cession portant sur les 26 entités du portefeuille (SCCV 121 HENRI GINOUX, SCI 43-45 RUE PIERRE VALETTE, SCI 60 RUE MARCEL BONNET, SCI ADELE & FIRMIN, SCI AEDES, SCI ARCUEIL MONTREUIL, SCI ATELIER URBAIN, SCI DANTON LILAS, SCI FS & CIE, SCI GM IMMO, SCI INSULA, SCI ISIS, SCI JEAN RENAUDIE, SCI L'ATELIER DE MONTREUIL, SCI LE LOFT, SCI LES ATELIERS VILLEJUIF GENTILLY, SCI MARIE MADELEINE, SCI MAUDAPHNE, SCI MILORD, SCI OKABE, SCI RHEA, SCI SAINT SULPICE, SNC ADONIA, SNC AMIRAL MAIGRET, SNC COROT, SNC PRIMEL TREGASTEL LOCATIONS)",,À détailler — section CONDITIONS SUSPENSIVES présente,,,,,,,,,Offre VERDOSO du 02/03/2026 (Docusign CC859BA0). Plan de cession global portant sur les 26 SCI/SNC. Prix global et individualisés par entité non extraits — PDF complet à retraiter pour extraction des montants par entité ciblée.
INSULA-07,INSULA,03_SCI_INSULA_offre7.pdf,À identifier — même structure portfolio 26 entités,,,,,,,Offre globale en plan de cession,2026-03-02,,,,,,Offre globale en plan de cession portant sur les mêmes 26 entités que INSULA-06,,,,,,,,,,,Docusign EBE6E276 (différent de INSULA-06). Probablement deuxième dépôt VERDOSO ou autre candidat sur même portefeuille. À retraiter en profondeur.
INSULA-08,INSULA,03_SCI_INSULA_offre8.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,"Portefeuille global d'actifs immobiliers du groupe Melot et Gouband (offre initiale du 09/02/2026 + ajout d'un appartement lot n°35, cadastré BX 36, sis 54-56 avenue Théophile Gautier et 6 rue George Sand à Paris 16e). Données fournies via dataroom électronique du 22/01/2026.",Aucune mention spécifique,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'Finale, ferme et indivisible' du 02/03/2026 portant sur le portefeuille global Melot/Gouband. Prix net vendeur 21 000 000€ (inclus tous les actifs des 26 entités + appartement Paris 16e additionnel). Réitère l'offre initiale du 09/02/2026 complétée. SCI INSULA fait partie du portefeuille - prix individualisé non précisé (fait partie du forfait global)."
INSULA-09,INSULA,03_SCI_INSULA_offre9.pdf,Jean-Christophe MIORCEC,Personne physique,,,"27 avenue du Tertre Notre Dame, logement A 29, 22000 Saint-Brieuc",Jean-Christophe MIORCEC (jmiorcec@gmail.com / 07 66 80 88 59),,Offre initiale,2026-02-27,M. MIORCEC en nom propre,101000,,101000,,SCI INSULA — 12 emplacements de stationnement (acquis en nom propre),,"Aucune (offre ferme et définitive, fonds disponibles)",Fonds propres — disponibles et mobilisables immédiatement,,,,,,,,"Offre par email du 27/02/2026, modifiée 02/03/2026. M. MIORCEC a abandonné le concours bancaire CIC (refus de financer le RJ pour délais courts) et recentré l'offre sur les actifs finançables sur fonds propres. Offre globale recentrée portant sur 3 entités : SNC AMIRAL MAIGRET (immeuble Trouville 561 000€) + SCI INSULA (12 parkings 101 000€) + SCI RHEA (3 parkings + cave 11 000€) = 673 000€ total net vendeur. Ferme, définitive, sans condition suspensive. À reporter dans les CSVs de SNC AMIRAL MAIGRET et SCI RHEA. Modification confirmée par INSULA-10 (mail complément)."
INSULA-10,INSULA,03_SCI_INSULA_offre10.pdf,Jean-Christophe MIORCEC,Personne physique,,,"27 avenue du Tertre Notre Dame, logement A 29, 22000 Saint-Brieuc",Jean-Christophe MIORCEC,,Complément d'offre,2026-03-02,M. MIORCEC en nom propre,101000,,101000,,SCI INSULA — 12 emplacements de stationnement (acquis en nom propre),,,Fonds propres,,,,,,,,"Complément d'email du 02/03/2026 confirmant que les emplacements de stationnement (SCI INSULA et SCI RHEA) sont acquis en nom propre, et que les fonds sont disponibles et mobilisables immédiatement. Doublon de INSULA-09 (même offre, mail de précision)."
